"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_00_NAME_ORG_CTRL","F9_00_BUILD_TIME_STAMP","F9_00_RETURN_TIME_STAMP","F9_00_SPECIAL_COND_DESC","F9_00_TAX_PERIOD_BEGIN_DATE","F9_00_TAX_PERIOD_END_DATE","F9_00_FORM_ADDR_CHANGE_X","F9_00_FORM_AMENDED_RETURN_X","F9_00_FORM_FINAL_RETURN_X","F9_00_FORM_INITIAL_RETURN_X","F9_00_ORG_ADDR_CITY","F9_00_ORG_ADDR_CNTR","F9_00_ORG_ADDR_IN_CARE_OF","F9_00_ORG_ADDR_L1","F9_00_ORG_ADDR_L2","F9_00_ORG_ADDR_STATE","F9_00_ORG_ADDR_ZIP","F9_00_ORG_NAME_DBA_L1","F9_00_ORG_NAME_DBA_L2","F9_00_ORG_PHONE","F9_00_PRIN_OFF_ADDR_CITY","F9_00_PRIN_OFF_ADDR_CNTR","F9_00_PRIN_OFF_ADDR_L1","F9_00_PRIN_OFF_ADDR_L2","F9_00_PRIN_OFF_ADDR_STATE","F9_00_PRIN_OFF_ADDR_ZIP","F9_00_PRIN_OFF_NAME_ORG_L1","F9_00_PRIN_OFF_NAME_ORG_L2","F9_00_PRIN_OFF_NAME_PERS","F9_00_GRO_RCPT","F9_00_GROUP_RETURN_AFFIL_X","F9_00_ALL_AFFIL_INCL_X","F9_00_GROUP_EXEMPT_NUM","F9_00_EXEMPT_STAT_4947A1_X","F9_00_EXEMPT_STAT_501C_X","F9_00_EXEMPT_STAT_501C3_X","F9_00_EXEMPT_STAT_527_X","F9_00_ORG_WEBSITE","F9_00_TYPE_ORG_ASSOC_X","F9_00_TYPE_ORG_CORP_X","F9_00_TYPE_ORG_OTH_DESC","F9_00_TYPE_ORG_OTH_X","F9_00_TYPE_ORG_TRUST_X","F9_00_YEAR_FORMATION","F9_00_LEGAL_DMCL_CNTR","F9_00_LEGAL_DMCL_STATE","EIN2"
201720449349302492,"https://s3.amazonaws.com/irs-form-990/201720449349302492_public.xml","2015v3.0",42596491,"CONWAY SCHOOL OF LANDSCAPE DESIGN INC",,"990",2015,"CONW",2017-02-10 21:41:12,2017-02-13 22:29:37,,2015-07-01,2016-06-30,,,,,"CONWAY",,,"332 S DEERFIELD ROAD PO BOX 179",,"MA","013410179",,,4133694044,"CONWAY",,"332 SOUTH DEERFIELD ROAD",,"MA","013410179",,,"KEITH ROSS",1090662,"0",,,,,"X",,"WWW.CSLD.EDU",,"X",,,,1976,,"MA","EIN-04-2596491"
201731319349304523,"https://s3.amazonaws.com/irs-form-990/201731319349304523_public.xml","2015v3.0",60840436,"BENHAVEN INC",,"990",2015,"BENH",2017-02-10 21:41:12,2017-05-11 20:49:40,,2015-07-01,2016-06-30,,,,,"EAST HAVEN",,,"187 HALF MILE ROAD",,"CT","06473",,,2032396425,"EAST HAVEN",,"187 HALF MILE ROAD",,"CT","06473",,,"KATHRYN DUPREE",17202510,"0",,,,,"X",,"WWW.BENHAVEN.ORG",,"X",,,,1967,,"CT","EIN-06-0840436"
201601239349200810,"https://s3.amazonaws.com/irs-form-990/201601239349200810_public.xml","2015v2.1",43266589,"RESOLVE OF THE BAY STATE INC",,"990EZ",2015,"RESO",2016-09-27 15:27:22,2016-05-02 18:56:08,,2015-01-01,2015-12-31,"X",,,,"WALTHAM",,,"395 TOTTEN POND ROAD NO 203",,"MA","02451",,,7818902250,,,,,,,,,,195520,,,,,,"X",,"WWW.RESOLVENEWENGLAND.ORG",,"X",,,,,,,"EIN-04-3266589"
201741299349302179,"https://s3.amazonaws.com/irs-form-990/201741299349302179_public.xml","2015v3.0",30179298,"President and Fellows of Middlebury","College","990",2015,"PRES",2017-02-10 21:41:12,2017-05-09 19:19:02,,2015-07-01,2016-06-30,,,,,"Middlebury",,,"Controllers Office Suite 102",,"VT","05753",,,8024435699,"Middlebury",,"Old Chapel Road",,"VT","05753",,,"Laurie L Patton",556929036,"0",,,,,"X",,"http://www.middlebury.edu",,"X",,,,1800,,"VT","EIN-03-0179298"
201712239349301951,"https://s3.amazonaws.com/irs-form-990/201712239349301951_public.xml","2015v3.0",42104310,"HOLYOKE VISITING NURSE ASSOCIATION INC",,"990",2015,"HOLY",2017-02-10 21:41:12,2017-08-11 20:33:29,,2015-10-01,2016-09-30,"X",,,,"HOLYOKE",,,"575 BEECH STREET",,"MA","01040",,,4135345691,"HOLYOKE",,"575 BEECH STREET",,"MA","01040",,,"PAULA BOSS",6436091,"0",,,,,"X",,"WWW.HOLYOKEVNA.ORG",,"X",,,,1905,,"MA","EIN-04-2104310"
201643069349300434,"https://s3.amazonaws.com/irs-form-990/201643069349300434_public.xml","2015v2.1",43543134,"THE DOUG FLUTIE JR FOUNDATION FOR","AUTISM INC","990",2015,"DOUG",2017-02-10 21:41:12,2016-11-01 14:37:36,,2015-01-01,2015-12-31,,,,,"NEWTON",,,"C/O BLOUIN CO2020 COMMONWEALTH AVE",,"MA","02466",,,6173324040,"NEWTON",,"C/O BLOUIN CO2020 COMMONWEALTH AVE",,"MA","02466",,,"DAVID R BLOUIN CPA",2590691,"0",,,,,"X",,"WWW.FLUTIEFOUNDATION.ORG",,"X",,,,2000,,"MA","EIN-04-3543134"
201603509349301090,"https://s3.amazonaws.com/irs-form-990/201603509349301090_public.xml","2015v2.1",42259692,"SOUTH SHORE ART CENTER INC",,"990",2015,"SOUT",2017-02-10 21:41:12,2016-12-15 22:04:29,,2015-09-01,2016-08-31,,,,,"COHASSET",,,"119 RIPLEY RD",,"MA","02025",,,7813832787,"COHASSET",,"119 RIPLEY RD",,"MA","02025",,,"RICHARD HORN",676967,"0",,,,,"X",,"WWW.SSAC.ORG",,"X",,,,1958,,"MA","EIN-04-2259692"
201623489349300632,"https://s3.amazonaws.com/irs-form-990/201623489349300632_public.xml","2015v2.1",42592472,"CAPE COD ACADEMY",,"990",2015,"CAPE",2017-02-10 21:41:12,2016-12-13 18:16:13,,2015-07-01,2016-06-30,,,,,"OSTERVILLE",,,"50 OSTERVILLE WEST BARNSTABLE RD",,"MA","02655",,,5084285400,"OSTERVILLE",,"50 OSTERVILLE W BARNSTABLE RD",,"MA","02655",,,"MR JAMES T HOECK",7325444,"0",,,,,"X",,"WWWW.CAPECODACADEMY.ORG",,"X",,,,1976,,"MA","EIN-04-2592472"
201613149349301766,"https://s3.amazonaws.com/irs-form-990/201613149349301766_public.xml","2015v2.1",20240383,"PORTSMOUTH HISTORICAL SOCIETY",,"990",2015,"PORT",2017-02-10 21:41:12,2016-11-09 17:59:04,,2015-01-01,2015-12-31,,,,,"PORTSMOUTH",,,"PO BOX 728",,"NH","03802",,,6035368433,"PORTSMOUTH",,"PO BOX 728",,"NH","03802",,,"TIM DRISCOLL",605956,"0",,,,,"X",,"WWW.PORTSMOUTHHISTORY.ORG","X",,,,,1917,,"NH","EIN-02-0240383"
201612299349300861,"https://s3.amazonaws.com/irs-form-990/201612299349300861_public.xml","2015v2.1",50258941,"BETHANY HOME OF RI INC",,"990",2015,"BETH",2016-09-27 15:27:22,2016-08-15 05:00:00,,2015-01-01,2015-12-31,,,,,"PROVIDENCE",,,"111 SOUTH ANGELL STREET",,"RI","02906",,,4018312870,"PROVIDENCE",,"111 SOUTH ANGELL STREET",,"RI","02906",,,"ELIZABETH SARRO",4675061,"0",,,,,"X",,"WWW.BETHANYHOMEOFRI.ORG",,"X",,,,1892,,"RI","EIN-05-0258941"
