"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_00_NAME_ORG_CTRL","F9_00_BUILD_TIME_STAMP","F9_00_RETURN_TIME_STAMP","F9_00_SPECIAL_COND_DESC","F9_00_TAX_PERIOD_BEGIN_DATE","F9_00_TAX_PERIOD_END_DATE","F9_00_FORM_ADDR_CHANGE_X","F9_00_FORM_AMENDED_RETURN_X","F9_00_FORM_FINAL_RETURN_X","F9_00_FORM_INITIAL_RETURN_X","F9_00_ORG_ADDR_CITY","F9_00_ORG_ADDR_CNTR","F9_00_ORG_ADDR_IN_CARE_OF","F9_00_ORG_ADDR_L1","F9_00_ORG_ADDR_L2","F9_00_ORG_ADDR_STATE","F9_00_ORG_ADDR_ZIP","F9_00_ORG_NAME_DBA_L1","F9_00_ORG_NAME_DBA_L2","F9_00_ORG_PHONE","F9_00_PRIN_OFF_ADDR_CITY","F9_00_PRIN_OFF_ADDR_CNTR","F9_00_PRIN_OFF_ADDR_L1","F9_00_PRIN_OFF_ADDR_L2","F9_00_PRIN_OFF_ADDR_STATE","F9_00_PRIN_OFF_ADDR_ZIP","F9_00_PRIN_OFF_NAME_ORG_L1","F9_00_PRIN_OFF_NAME_ORG_L2","F9_00_PRIN_OFF_NAME_PERS","F9_00_GRO_RCPT","F9_00_GROUP_RETURN_AFFIL_X","F9_00_ALL_AFFIL_INCL_X","F9_00_GROUP_EXEMPT_NUM","F9_00_EXEMPT_STAT_4947A1_X","F9_00_EXEMPT_STAT_501C_X","F9_00_EXEMPT_STAT_501C3_X","F9_00_EXEMPT_STAT_527_X","F9_00_ORG_WEBSITE","F9_00_TYPE_ORG_ASSOC_X","F9_00_TYPE_ORG_CORP_X","F9_00_TYPE_ORG_OTH_DESC","F9_00_TYPE_ORG_OTH_X","F9_00_TYPE_ORG_TRUST_X","F9_00_YEAR_FORMATION","F9_00_LEGAL_DMCL_CNTR","F9_00_LEGAL_DMCL_STATE","EIN2"
"201132279349302418","https://s3.amazonaws.com/irs-form-990/201132279349302418_public.xml","2009v1.7","42104310","HOLYOKE VISITiNG NURSE ASSOCIATION INC","","990","2009","HOLY","2016-02-24 21:20:13","2011-08-15 17:12:34","","2009-10-01","2010-09-30","","","","","HOLYOKE","","","113 hampden street","","MA","01040","","","4135345691","HOLYOKE","","113 hampden street","","MA","01040","","","maureen wishart","7743872","0","","","","X","","","www.holyokevna.org","","X","","","","1905","","MA","EIN-04-2104310"
"201121339349301522","https://s3.amazonaws.com/irs-form-990/201121339349301522_public.xml","2009v1.7","60840436","Benhaven Inc","","990","2009","BENH","2016-02-24 21:20:13","2011-05-13 13:57:53","","2009-07-01","2010-06-30","","","","","EAST HAVEN","","","187 HALF MILE ROAD","","CT","06473","","","2032396425","EAST HAVEN","","187 HALF MILE ROAD","","CT","06473","","","LARRY WOOD","13201152","0","","","","X","","","WWW.BENHAVEN.ORG","","X","","","","1967","","CT","EIN-06-0840436"
"201131329349302773","https://s3.amazonaws.com/irs-form-990/201131329349302773_public.xml","2009v1.4","30179298","President and Fellows of Middlebury College","","990","2009","PRES","2016-02-24 21:20:13","2011-05-12 18:19:16","","2009-07-01","2010-06-30","","","","","Middlebury","","","Controllers Office No 230","","VT","05753","","","8024435699","Middlebury","","Old Chapel Road","","VT","05753","","","Ronald D Liebowitz","317034600","0","","","","X","","","http://www.middlebury.edu","","X","","","","1800","","VT","EIN-03-0179298"
"201130269349300413","https://s3.amazonaws.com/irs-form-990/201130269349300413_public.xml","2009v1.7","42592472","Cape Cod Academy","","990","2009","CAPE","2016-02-24 21:20:13","2011-01-26 20:25:07","","2009-07-01","2010-06-30","","","","","Osterville","","","50 Osterville West Barnstable Rd","","MA","02655","","","5084285400","DERRY","","41 S MAIN STREET","","NH","03038","","","RIC RUST","10468182","0","","","","X","","","wwww.capecodacademy.org","","X","","","","1976","","MA","EIN-04-2592472"
"201102529349300325","https://s3.amazonaws.com/irs-form-990/201102529349300325_public.xml","2010v3.4","50258941","BETHANY HOME OF RI INC","","990","2010","BETH","2016-02-24 21:20:13","2011-09-09 20:44:57","","2010-01-01","2010-12-31","","","","","PROVIDENCE","","","111 SOUTH ANGELL STREET","","RI","02906","","","4018312870","PROVIDENCE","","111 SOUTH ANGELL ST","","RI","02906","","","MICHELLE GEREZ","3782162","0","","","","","X","","WWW.BETHANYHOMEOFRI.ORG","","X","","","","1892","","RI","EIN-05-0258941"
"201241319349301509","https://s3.amazonaws.com/irs-form-990/201241319349301509_public.xml","2010v3.4","60840436","BENHAVEN INC","","990","2010","BENH","2016-02-24 21:20:13","2012-05-10 16:10:58","","2010-07-01","2011-06-30","","","","","EAST HAVEN","","","187 HALF MILE ROAD","","CT","06473","","","2032396425","EAST HAVEN","","187 HALF MILE ROAD","","CT","06473","","","LARRY WOOD","14162338","0","","","","","X","","WWW.BENHAVEN.ORG","","X","","","","1967","","CT","EIN-06-0840436"
"201113139349301631","https://s3.amazonaws.com/irs-form-990/201113139349301631_public.xml","2010v3.2","42596491","CONWAY SCHOOL OF LANDSCAPE DESIGN INC","","990","2010","CONW","2016-02-24 21:20:13","2011-11-09 15:31:27","","2010-07-01","2011-06-30","","","","","CONWAY","","","332 S DEERFIELD ROAD PO BOX 179","","MA","013410179","","","4133694044","CONWAY","","332 SOUTH DEERFIELD ROAD","","MA","013410179","","","PAUL HELLMUND","752746","0","","","","","X","","WWW.CSLD.EDU","","X","","","","1976","","MA","EIN-04-2596491"
"201112239349301366","https://s3.amazonaws.com/irs-form-990/201112239349301366_public.xml","2010v3.4","43543134","THE DOUG FLUTIE JR FOUNDATION FOR AUTISM INC","","990","2010","DOUG","2016-02-24 21:20:13","2011-08-11 15:26:01","","2010-01-01","2010-12-31","","","","","WALTHAM","","","C/O DR BLOUIN CPA 51 SAWYER RD NO","310","MA","02453","","","7818935100","WALTHAM","","C/O DR BLOUIN CPA 51 SAWYER RD NO","310","MA","02453","","","DAVID R BLOUIN CPA","2311254","0","","","","","X","","WWW.FLUTIEFOUNDATION.ORG","","X","","","","2000","","MA","EIN-04-3543134"
"201222289349303377","https://s3.amazonaws.com/irs-form-990/201222289349303377_public.xml","2010v3.4","42104310","HOLYOKE VISITING NURSE ASSOCIATION INC","","990","2010","HOLY","2016-02-24 21:20:13","2012-08-15 20:11:37","","2010-10-01","2011-09-30","","","","","HOLYOKE","","","113 HAMPDEN STREET","","MA","01040","","","4135345691","HOLYOKE","","113 HAMPDEN STREET","","MA","01040","","","MAUREEN WISHART","7147781","0","","","","","X","","WWW.HOLYOKEVNA.ORG","","X","","","","1905","","MA","EIN-04-2104310"
"201241359349305239","https://s3.amazonaws.com/irs-form-990/201241359349305239_public.xml","2010v3.2","30179298","President and Fellows of Middlebury College","","990","2010","PRES","2016-02-24 21:20:13","2012-05-14 20:15:05","","2010-07-01","2011-06-30","","","","","Middlebury","","","Controllers Office No 230","","VT","05753","","","8024435699","Middlebury","","Old Chapel Road","","VT","05753","","","Ronald D Liebowitz","327938000","0","","","","","X","","http://www.middlebury.edu","","X","","","","1800","","VT","EIN-03-0179298"
"201241079349300309","https://s3.amazonaws.com/irs-form-990/201241079349300309_public.xml","2010v3.2","42259692","SOUTH SHORE ART CENTER INC","","990","2010","SOUT","2016-02-24 21:20:13","2012-04-16 16:00:08","","2010-09-01","2011-08-31","","","","","COHASSET","","","119 RIPLEY ROAD","","MA","02025","","","7813832787","SCITUATE","","114 INDIAN TRAIL","","MA","02066","","","RICHARD HORN","695375","false","","","","","X","","N/A","","X","","","","1958","","MA","EIN-04-2259692"
"201300089349300925","https://s3.amazonaws.com/irs-form-990/201300089349300925_public.xml","2011v1.2","42596491","CONWAY SCHOOL OF LANDSCAPE DESIGN INC","","990","2011","CONW","2016-03-07 17:11:31","2013-01-08 19:06:11","","2011-07-01","2012-06-30","","","","","CONWAY","","","332 S DEERFIELD ROAD PO BOX 179","","MA","013410179","","","4133694044","CONWAY","","332 SOUTH DEERFIELD ROAD","","MA","013410179","","","PAUL HELLMUND","568633","0","","","","","X","","WWW.CSLD.EDU","","X","","","","1976","","MA","EIN-04-2596491"
