"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_08_INFO_SCHED_O_X","F9_08_REV_CONTR_FED_CAMP","F9_08_REV_CONTR_MEMBSHIP_DUE","F9_08_REV_CONTR_FUNDR_EVNT","F9_08_REV_CONTR_RLTD_ORG","F9_08_REV_CONTR_GOVT_GRANT","F9_08_REV_CONTR_OTH","F9_08_REV_CONTR_NONCSH","F9_08_REV_CONTR_TOT","F9_08_REV_PROG_OTH_TOT","F9_08_REV_PROG_OTH_RLTD","F9_08_REV_PROG_OTH_UBIZ","F9_08_REV_PROG_OTH_EXCL","F9_08_REV_PROG_TOT_TOT","F9_08_REV_OTH_INVEST_INCOME_TOT","F9_08_REV_OTH_INVEST_INCOME_RLTD","F9_08_REV_OTH_INVEST_INCOME_UBIZ","F9_08_REV_OTH_INVEST_INCOME_EXCL","F9_08_REV_OTH_INVEST_BOND_TOT","F9_08_REV_OTH_INVEST_BOND_RLTD","F9_08_REV_OTH_INVEST_BOND_UBIZ","F9_08_REV_OTH_INVEST_BOND_EXCL","F9_08_REV_OTH_ROY_TOT","F9_08_REV_OTH_ROY_RLTD","F9_08_REV_OTH_ROY_UBIZ","F9_08_REV_OTH_ROY_EXCL","F9_08_REV_OTH_RENT_GRO_REAL","F9_08_REV_OTH_RENT_GRO_PERS","F9_08_REV_OTH_RENT_LESS_EXP_REAL","F9_08_REV_OTH_RENT_LESS_EXP_PERS","F9_08_REV_OTH_RENT_INCOME_REAL","F9_08_REV_OTH_RENT_INCOME_PERS","F9_08_REV_OTH_RENT_NET_TOT","F9_08_REV_OTH_RENT_NET_RLTD","F9_08_REV_OTH_RENT_NET_UBIZ","F9_08_REV_OTH_RENT_NET_EXCL","F9_08_REV_OTH_SALE_ASSET_SEC","F9_08_REV_OTH_SALE_ASSET_OTH","F9_08_REV_OTH_SALE_ASSET","F9_08_REV_OTH_SALE_LESS_COST_SEC","F9_08_REV_OTH_SALE_LESS_COST_OTH","F9_08_REV_OTH_SALE_LESS_COST","F9_08_REV_OTH_SALE_GAIN_SEC","F9_08_REV_OTH_SALE_GAIN_OTH","F9_08_REV_OTH_SALE_GAIN_NET_TOT","F9_08_REV_OTH_SALE_GAIN_NET_RLTD","F9_08_REV_OTH_SALE_GAIN_NET_UBIZ","F9_08_REV_OTH_SALE_GAIN_NET_EXCL","F9_08_REV_OTH_FUNDR_EVNT_0","F9_08_REV_OTH_FUNDR_EVNT_1","F9_08_REV_OTH_FUNDR_DIRECT_EXP","F9_08_REV_OTH_EVNT_DIRECT_EXP","F9_08_REV_OTH_EVNT_NET_TOT","F9_08_REV_OTH_FUNDR_NET_TOT","F9_08_REV_OTH_FUNDR_NET_RLTD","F9_08_REV_OTH_FUNDR_NET_UBIZ","F9_08_REV_OTH_FUNDR_NET_EXCL","F9_08_REV_OTH_GAMING","F9_08_REV_OTH_GAMING_DIRECT_EXP","F9_08_REV_OTH_GAMING_NET_TOT","F9_08_REV_OTH_GAMING_NET_RLTD","F9_08_REV_OTH_GAMING_NET_UBIZ","F9_08_REV_OTH_GAMING_NET_EXCL","F9_08_REV_OTH_INV_GRO_SALE","F9_08_REV_OTH_INV_COST_GOODS","F9_08_REV_OTH_INV_NET_TOT","F9_08_REV_OTH_INV_NET_RLTD","F9_08_REV_OTH_INV_NET_UBIZ","F9_08_REV_OTH_INV_NET_EXCL","F9_08_REV_MISC_OTH_TOT","F9_08_REV_MISC_OTH_RLTD","F9_08_REV_MISC_OTH_UBIZ","F9_08_REV_MISC_OTH_EXCL","F9_08_REV_MISC_TOT_TOT","F9_08_REV_TOT_TOT","F9_08_REV_TOT_RLTD","F9_08_REV_TOT_UBIZ","F9_08_REV_TOT_EXCL","EIN2"
201801349349303665,"https://s3.amazonaws.com/irs-form-990/201801349349303665_public.xml","2016v3.0",30179298,"President and Fellows of Middlebury","College","990",2016,,,,,,3941318,31334682,7713834,35276000,14469290,14469290,,,237441613,22533493,,-2309273,24842766,,,,,29572,,,29572,,,,,,,,,,,202046000,,,149013000,,,53033000,,53033000,,1114830,51918170,,,,,,,,,,,,,,,,,,,,,,,,,,38179,348351857,236931373,-646024,76790508,"EIN-03-0179298"
201712379349300816,"https://s3.amazonaws.com/irs-form-990/201712379349300816_public.xml","2016v3.0",50258941,"BETHANY HOME OF RI INC",,"990",2016,,,,,,,198983,,198983,,,,,4532437,965,,,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7855,4740240,4532437,0,8820,"EIN-05-0258941"
201712999349300411,"https://s3.amazonaws.com/irs-form-990/201712999349300411_public.xml","2016v3.0",43543134,"THE DOUG FLUTIE JR FOUNDATION FOR","AUTISM INC","990",2016,,,,336676,,,766834,49262,1103510,,,,,17755,57073,,,57073,,,,,,,,,,,,,,,,,,,1036468,,,1036443,,,25,,25,,,25,336676,33936,175736,,,-141800,,,-141800,,,,,,,,,,,,,,,,,,1036563,17755,0,-84702,"EIN-04-3543134"
201811359349310581,"https://s3.amazonaws.com/irs-form-990/201811359349310581_public.xml","2016v3.0",60840436,"Benhaven Inc",,"990",2016,,,,,,,11473,,11473,,,,,17659983,56286,,,56286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17727742,17659983,0,56286,"EIN-06-0840436"
201841989349301309,"https://s3.amazonaws.com/irs-form-990/201841989349301309_public.xml","2016v3.0",42259692,"SOUTH SHORE ART CENTER INC",,"990",2016,,,96241,20198,,,187045,,303484,5882,5882,,,328747,4998,,,4998,,,,,,,,,,,,,,,,,,,138446,,,127985,,,10461,,10461,,,10461,20198,112505,49722,,,62783,,,62783,,,,,,,,,,,,,,,,,,710473,328747,0,78242,"EIN-04-2259692"
201722989349301367,"https://s3.amazonaws.com/irs-form-990/201722989349301367_public.xml","2016v3.0",20240383,"PORTSMOUTH HISTORICAL SOCIETY",,"990",2016,,,33547,,,,356543,,390090,,,,,129430,137,,,137,,,,,,,,,59700,,0,,59700,,59700,,,59700,,,,,,,,,,,,,,19991,3778,,,16213,,,16213,,,,,,,115466,32655,82811,82811,,,,,,,,678381,212241,0,76050,"EIN-02-0240383"
201821359349305012,"https://s3.amazonaws.com/irs-form-990/201821359349305012_public.xml","2016v3.0",42596491,"CONWAY SCHOOL OF LANDSCAPE DESIGN INC",,"990",2016,,,,,,,159110,,159110,,,,,605773,16153,,,16153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7991,789027,605773,0,24144,"EIN-04-2596491"
201743219349300644,"https://s3.amazonaws.com/irs-form-990/201743219349300644_public.xml","2016v3.0",42592472,"CAPE COD ACADEMY",,"990",2016,,,,,,,463308,81971,463308,,,,,6191431,8299,,,8299,,,,,,,,,,,,,,,,,,,895994,,,902714,9299,,-6720,-9299,-16019,,,-16019,,17832,5416,,,12416,,,12416,,,,,,,,,,,,,,,,,92911,6752346,6191431,0,97607,"EIN-04-2592472"
201842269349301494,"https://s3.amazonaws.com/irs-form-990/201842269349301494_public.xml","2016v3.0",42104310,"HOLYOKE VISITING NURSE ASSOCIATION INC",,"990",2016,,,,,,,4766,,4766,,,,,6620204,74696,,,74696,,,,,,,,,,,,,,,,,,,42583,,,0,,,42583,,42583,,,42583,,,,,,,,,,,,,,,,,,,,,,,,,,,6742249,6620204,0,117279,"EIN-04-2104310"
201732859349200123,"https://s3.amazonaws.com/irs-form-990/201732859349200123_public.xml","2016v3.0",43266589,"RESOLVE OF THE BAY STATE INC",,"990EZ",2016,,,11155,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946,,,,,"EIN-04-3266589"
