"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_08_INFO_SCHED_O_X","F9_08_REV_CONTR_FED_CAMP","F9_08_REV_CONTR_MEMBSHIP_DUE","F9_08_REV_CONTR_FUNDR_EVNT","F9_08_REV_CONTR_RLTD_ORG","F9_08_REV_CONTR_GOVT_GRANT","F9_08_REV_CONTR_OTH","F9_08_REV_CONTR_NONCSH","F9_08_REV_CONTR_TOT","F9_08_REV_PROG_OTH_TOT","F9_08_REV_PROG_OTH_RLTD","F9_08_REV_PROG_OTH_UBIZ","F9_08_REV_PROG_OTH_EXCL","F9_08_REV_PROG_TOT_TOT","F9_08_REV_OTH_INVEST_INCOME_TOT","F9_08_REV_OTH_INVEST_INCOME_RLTD","F9_08_REV_OTH_INVEST_INCOME_UBIZ","F9_08_REV_OTH_INVEST_INCOME_EXCL","F9_08_REV_OTH_INVEST_BOND_TOT","F9_08_REV_OTH_INVEST_BOND_RLTD","F9_08_REV_OTH_INVEST_BOND_UBIZ","F9_08_REV_OTH_INVEST_BOND_EXCL","F9_08_REV_OTH_ROY_TOT","F9_08_REV_OTH_ROY_RLTD","F9_08_REV_OTH_ROY_UBIZ","F9_08_REV_OTH_ROY_EXCL","F9_08_REV_OTH_RENT_GRO_REAL","F9_08_REV_OTH_RENT_GRO_PERS","F9_08_REV_OTH_RENT_LESS_EXP_REAL","F9_08_REV_OTH_RENT_LESS_EXP_PERS","F9_08_REV_OTH_RENT_INCOME_REAL","F9_08_REV_OTH_RENT_INCOME_PERS","F9_08_REV_OTH_RENT_NET_TOT","F9_08_REV_OTH_RENT_NET_RLTD","F9_08_REV_OTH_RENT_NET_UBIZ","F9_08_REV_OTH_RENT_NET_EXCL","F9_08_REV_OTH_SALE_ASSET_SEC","F9_08_REV_OTH_SALE_ASSET_OTH","F9_08_REV_OTH_SALE_ASSET","F9_08_REV_OTH_SALE_LESS_COST_SEC","F9_08_REV_OTH_SALE_LESS_COST_OTH","F9_08_REV_OTH_SALE_LESS_COST","F9_08_REV_OTH_SALE_GAIN_SEC","F9_08_REV_OTH_SALE_GAIN_OTH","F9_08_REV_OTH_SALE_GAIN_NET_TOT","F9_08_REV_OTH_SALE_GAIN_NET_RLTD","F9_08_REV_OTH_SALE_GAIN_NET_UBIZ","F9_08_REV_OTH_SALE_GAIN_NET_EXCL","F9_08_REV_OTH_FUNDR_EVNT_0","F9_08_REV_OTH_FUNDR_EVNT_1","F9_08_REV_OTH_FUNDR_DIRECT_EXP","F9_08_REV_OTH_EVNT_DIRECT_EXP","F9_08_REV_OTH_EVNT_NET_TOT","F9_08_REV_OTH_FUNDR_NET_TOT","F9_08_REV_OTH_FUNDR_NET_RLTD","F9_08_REV_OTH_FUNDR_NET_UBIZ","F9_08_REV_OTH_FUNDR_NET_EXCL","F9_08_REV_OTH_GAMING","F9_08_REV_OTH_GAMING_DIRECT_EXP","F9_08_REV_OTH_GAMING_NET_TOT","F9_08_REV_OTH_GAMING_NET_RLTD","F9_08_REV_OTH_GAMING_NET_UBIZ","F9_08_REV_OTH_GAMING_NET_EXCL","F9_08_REV_OTH_INV_GRO_SALE","F9_08_REV_OTH_INV_COST_GOODS","F9_08_REV_OTH_INV_NET_TOT","F9_08_REV_OTH_INV_NET_RLTD","F9_08_REV_OTH_INV_NET_UBIZ","F9_08_REV_OTH_INV_NET_EXCL","F9_08_REV_MISC_OTH_TOT","F9_08_REV_MISC_OTH_RLTD","F9_08_REV_MISC_OTH_UBIZ","F9_08_REV_MISC_OTH_EXCL","F9_08_REV_MISC_TOT_TOT","F9_08_REV_TOT_TOT","F9_08_REV_TOT_RLTD","F9_08_REV_TOT_UBIZ","F9_08_REV_TOT_EXCL","EIN2"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202141969349301029","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202141969349301029_public.xml","2019v5.0",42259692,"SOUTH SHORE ART CENTER INC",,"990",2019,,,84954,,,,131416,,216370,2575,2575,,,222728,26108,,,26108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30230,8395,,,21835,,,21835,,,,,,,,,,,,,,,,,,487041,222728,,47943,"EIN-04-2259692"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202111329349302436","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202111329349302436_public.xml","2019v5.2",30179298,"President and Fellows of Middlebury","College","990",2019,,,,,,6406864,48266678,3824967,54673542,10028957,10028957,,,245196626,27953595,,-4719146,32672741,,,,,113787,,,113787,,,,,,,,,,,226152000,,,153846000,,,72306000,,72306000,,5101582,67204418,,,,,,,,,,,,,,,,,,,,,,,,,,28644,400272194,245170858,436848,99990946,"EIN-03-0179298"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202033219349303108","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202033219349303108_public.xml","2019v5.1",50258941,"BETHANY HOME OF RI INC",,"990",2019,,,,,,,256274,,256274,,,,,4436966,11896,,,11896,,,,,,,,,,,,,,,,,,,,500,,,0,,,500,500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,839,4706475,4436966,0,13235,"EIN-05-0258941"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202142289349301634","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202142289349301634_public.xml","2019v5.2",42104310,"Holyoke Visiting Nurse Association Inc",,"990",2019,,,,,,295086,21761,,316847,,,,,6280246,39756,,,39756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6636849,6280246,0,39756,"EIN-04-2104310"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202120959349300722","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202120959349300722_public.xml","2019v5.2",60840436,"BENHAVEN INC",,"990",2019,,,,,,,184307,,184307,10294,10294,,,20564803,65766,,,65766,,,,,,,,,,,,,,,,,,,505625,,,395400,,,110225,,110225,,,110225,,,,,,,,,,,,,,,,,,,,,,,,,,,20925101,20564803,0,175991,"EIN-06-0840436"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202131049349300108","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202131049349300108_public.xml","2019v5.2",42596491,"CONWAY SCHOOL OF LANDSCAPE DESIGN INC",,"990",2019,,,,,,,335111,,335111,,,,,748412,6520,,,6520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090043,748412,0,6520,"EIN-04-2596491"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202110219349300726","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202110219349300726_public.xml","2019v5.1",42592472,"CAPE COD ACADEMY",,"990",2019,,,,,,,424112,250043,424112,,,,,6929679,1406,,,1406,,,,,,,,,62186,,0,,62186,,62186,,,62186,247376,,,250043,,,-2667,,-2667,,,-2667,,,,,,,,,,,,,,,,,,,,,,,,,,4264,7418980,6933943,0,60925,"EIN-04-2592472"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202012589349200831","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202012589349200831_public.xml","2019v5.1",43266589,"RESOLVE OF THE BAY STATE INC",,"990EZ",2019,,,11295,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIN-04-3266589"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202003219349305285","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202003219349305285_public.xml","2019v5.1",20240383,"PORTSMOUTH HISTORICAL SOCIETY",,"990",2019,,,23848,,,,342758,6300,366606,,,,,67590,40,,,40,,,,,,,,,59652,,0,,59652,,59652,,,59652,,,,,,,,,,,,,,48634,3580,,,45054,,,45054,,,,,,,72934,30701,42233,42233,,,,,,,,581175,109823,0,104746,"EIN-02-0240383"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202043219349317459","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202043219349317459_public.xml","2019v5.1",43543134,"THE DOUG FLUTIE JR FOUNDATION FOR","AUTISM INC","990",2019,,,,411779,,,927050,38046,1338829,,,,,23627,64571,,,64571,,,,,,,,,,,,,,,,,,,960123,,,875697,,,84426,,84426,,,84426,411779,63047,192097,,,-129050,,,-129050,,,,,,,,,,,,,,,,,,1382403,23627,0,19947,"EIN-04-3543134"
