"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_09_INFO_SCHED_O_X","F9_09_EXP_GRANT_US_ORG_TOT","F9_09_EXP_GRANT_US_ORG_PROG","F9_09_EXP_GRANT_US_INDIV_TOT","F9_09_EXP_GRANT_US_INDIV_PROG","F9_09_EXP_GRANT_FRGN_TOT","F9_09_EXP_GRANT_FRGN_PROG","F9_09_EXP_BEN_PAID_MEMB_TOT","F9_09_EXP_BEN_PAID_MEMB_PROG","F9_09_EXP_COMP_DTK_TOT","F9_09_EXP_COMP_DTK_PROG","F9_09_EXP_COMP_DTK_MGMT","F9_09_EXP_COMP_DTK_FUNDR","F9_09_EXP_COMP_DSQ_PERS_TOT","F9_09_EXP_COMP_DSQ_PERS_PROG","F9_09_EXP_COMP_DSQ_PERS_MGMT","F9_09_EXP_COMP_DSQ_PERS_FUNDR","F9_09_EXP_OTH_SAL_WAGE_TOT","F9_09_EXP_OTH_SAL_WAGE_PROG","F9_09_EXP_OTH_SAL_WAGE_MGMT","F9_09_EXP_OTH_SAL_WAGE_FUNDR","F9_09_EXP_PENSION_CONTR_TOT","F9_09_EXP_PENSION_CONTR_PROG","F9_09_EXP_PENSION_CONTR_MGMT","F9_09_EXP_PENSION_CONTR_FUNDR","F9_09_EXP_OTH_EMPL_BEN_TOT","F9_09_EXP_OTH_EMPL_BEN_PROG","F9_09_EXP_OTH_EMPL_BEN_MGMT","F9_09_EXP_OTH_EMPL_BEN_FUNDR","F9_09_EXP_PAYROLL_TAX_TOT","F9_09_EXP_PAYROLL_TAX_PROG","F9_09_EXP_PAYROLL_TAX_MGMT","F9_09_EXP_PAYROLL_TAX_FUNDR","F9_09_EXP_FEE_SVC_MGMT_TOT","F9_09_EXP_FEE_SVC_MGMT_PROG","F9_09_EXP_FEE_SVC_MGMT_MGMT","F9_09_EXP_FEE_SVC_MGMT_FUNDR","F9_09_EXP_FEE_SVC_LEGAL_TOT","F9_09_EXP_FEE_SVC_LEGAL_PROG","F9_09_EXP_FEE_SVC_LEGAL_MGMT","F9_09_EXP_FEE_SVC_LEGAL_FUNDR","F9_09_EXP_FEE_SVC_ACC_TOT","F9_09_EXP_FEE_SVC_ACC_PROG","F9_09_EXP_FEE_SVC_ACC_MGMT","F9_09_EXP_FEE_SVC_ACC_FUNDR","F9_09_EXP_FEE_SVC_LOB_TOT","F9_09_EXP_FEE_SVC_LOB_PROG","F9_09_EXP_FEE_SVC_LOB_MGMT","F9_09_EXP_FEE_SVC_LOB_FUNDR","F9_09_EXP_FEE_SVC_FUNDR_TOT","F9_09_EXP_FEE_SVC_FUNDR_PROG","F9_09_EXP_FEE_SVC_FUNDR_MGMT","F9_09_EXP_FEE_SVC_FUNDR_FUNDR","F9_09_EXP_FEE_SVC_INVEST_TOT","F9_09_EXP_FEE_SVC_INVEST_PROG","F9_09_EXP_FEE_SVC_INVEST_MGMT","F9_09_EXP_FEE_SVC_INVEST_FUNDR","F9_09_EXP_FEE_SVC_OTH_TOT","F9_09_EXP_FEE_SVC_OTH_PROG","F9_09_EXP_FEE_SVC_OTH_MGMT","F9_09_EXP_FEE_SVC_OTH_FUNDR","F9_09_EXP_AD_PROMO_TOT","F9_09_EXP_AD_PROMO_PROG","F9_09_EXP_AD_PROMO_MGMT","F9_09_EXP_AD_PROMO_FUNDR","F9_09_EXP_OFFICE_TOT","F9_09_EXP_OFFICE_TOT_V2","F9_09_EXP_OFFICE_PROG","F9_09_EXP_OFFICE_MGMT","F9_09_EXP_OFFICE_FUNDR","F9_09_EXP_INFO_TECH_TOT","F9_09_EXP_INFO_TECH_PROG","F9_09_EXP_INFO_TECH_MGMT","F9_09_EXP_INFO_TECH_FUNDR","F9_09_EXP_ROY_TOT","F9_09_EXP_ROY_PROG","F9_09_EXP_ROY_MGMT","F9_09_EXP_ROY_FUNDR","F9_09_EXP_OCCUPANCY_TOT","F9_09_EXP_OCCUPANCY_PROG","F9_09_EXP_OCCUPANCY_MGMT","F9_09_EXP_OCCUPANCY_FUNDR","F9_09_EXP_TRAVEL_TOT","F9_09_EXP_TRAVEL_PROG","F9_09_EXP_TRAVEL_MGMT","F9_09_EXP_TRAVEL_FUNDR","F9_09_EXP_TRAVEL_ENTMT_TOT","F9_09_EXP_TRAVEL_ENTMT_PROG","F9_09_EXP_TRAVEL_ENTMT_MGMT","F9_09_EXP_TRAVEL_ENTMT_FUNDR","F9_09_EXP_CONF_MEETING_TOT","F9_09_EXP_CONF_MEETING_PROG","F9_09_EXP_CONF_MEETING_MGMT","F9_09_EXP_CONF_MEETING_FUNDR","F9_09_EXP_INT_TOT","F9_09_EXP_INT_PROG","F9_09_EXP_INT_MGMT","F9_09_EXP_INT_FUNDR","F9_09_EXP_PAY_AFFIL_TOT","F9_09_EXP_PAY_AFFIL_PROG","F9_09_EXP_PAY_AFFIL_MGMT","F9_09_EXP_PAY_AFFIL_FUNDR","F9_09_EXP_DEPREC_TOT","F9_09_EXP_DEPREC_PROG","F9_09_EXP_DEPREC_MGMT","F9_09_EXP_DEPREC_FUNDR","F9_09_EXP_INSURANCE_TOT","F9_09_EXP_INSURANCE_PROG","F9_09_EXP_INSURANCE_MGMT","F9_09_EXP_INSURANCE_FUNDR","F9_09_EXP_OTH_OTH_TOT","F9_09_EXP_OTH_OTH_PROG","F9_09_EXP_OTH_OTH_MGMT","F9_09_EXP_OTH_OTH_FUNDR","F9_09_EXP_TOT_TOT","F9_09_EXP_TOT_PROG","F9_09_EXP_TOT_MGMT","F9_09_EXP_TOT_FUNDR","F9_09_EXP_JOINT_COST_X","F9_09_EXP_JOINT_COST_TOT","F9_09_EXP_JOINT_COST_PROG","F9_09_EXP_JOINT_COST_MGMT","F9_09_EXP_JOINT_COST_FUNDR","EIN2"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202141969349301029","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202141969349301029_public.xml","2019v5.0",42259692,"SOUTH SHORE ART CENTER INC",,"990",2019,,,,,,,,,,,,,,,,,,325345,231610,59830,33905,,,,,,,,,26974,19203,4961,2810,,,,,,,,,13450,,13450,,,,,,,,,,375,,375,,13114,13114,,,5529,4067,581,881,26874,,22261,4613,,,,,,,,,,,,,,,,,,,,,,6369,5413,956,,4496,,4496,,,,,,40492,34013,5264,1215,12042,9336,2373,333,25596,14875,6866,3855,556547,390056,123492,42999,,,,,,"EIN-04-2259692"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202111329349302436","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202111329349302436_public.xml","2019v5.2",30179298,"President and Fellows of Middlebury","College","990",2019,,739376,739376,74183436,74183436,857349,857349,,,3940965,669964,2601037,669964,107488,107488,,,128641042,112002175,15317844,1321023,13658949,11316332,1931240,411377,22893843,20098845,2794998,,8458430,7014557,1197101,246772,,,,,540417,44125,496292,,420529,127940,292589,,,,,,,,,,6437595,,6437595,,,,,,698505,227918,423528,47059,1505820,,700378,724898,80544,2341460,1020029,1321431,,,,,,11159394,9236578,1922816,,7097003,5736794,1224188,136021,,,,,339592,257711,73693,8188,10371000,9604147,690168,76685,,,,,19593001,18171545,1279310,142146,2475676,33813,2441863,,2902723,,2902723,,360929342,305565731,50761282,4602329,,,,,,"EIN-03-0179298"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202033219349303108","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202033219349303108_public.xml","2019v5.1",50258941,"BETHANY HOME OF RI INC",,"990",2019,,,,,,,,,,151285,,151285,,,,,,2507859,2325895,181964,,64932,57047,7885,,322596,290373,32223,,217624,191196,26428,,,,,,21453,,21453,,30990,,30990,,,,,,,,,,,,,,155889,33773,122116,,32909,,32909,,35382,,,35382,,19666,,19666,,,,,,78155,78155,,,1641,,1641,,,,,,4081,,4081,,426,,426,,,,,,202245,188386,13859,,50026,40512,9514,,56193,16409,39784,,4651006,3919400,731606,0,,,,,,"EIN-05-0258941"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202142289349301634","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202142289349301634_public.xml","2019v5.2",42104310,"Holyoke Visiting Nurse Association Inc",,"990",2019,,,,,,,,,,,,,,,,,,4339044,3549844,789200,,,,,,412103,337141,74962,,347124,283982,63142,,421228,,421228,,20023,,20023,,140702,,140702,,,,,,,,,,2511,,2511,,459237,375702,83535,,8654,7080,1574,,9638,,7885,1753,,77541,63436,14105,,,,,,102680,84003,18677,,130427,90890,39537,,,,,,285,233,52,,,,,,,,,,7594,6213,1381,,43309,35431,7878,,18608,15223,3385,,7063509,5339710,1723799,0,,,,,,"EIN-04-2104310"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202120959349300722","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202120959349300722_public.xml","2019v5.2",60840436,"BENHAVEN INC",,"990",2019,,,,,,,,,,339854,315738,24116,,,,,,13198015,12210169,987846,,242321,236352,5969,,2694229,2627866,66363,,955271,931741,23530,,,,,,72315,,72315,,54245,,54245,,,,,,,,,,,,,,604852,585243,19609,,5635,5635,,,80776,,27575,53201,,,,,,,,,,273891,251220,22671,,287411,266969,20442,,,,,,40253,37472,2781,,112878,112878,,,,,,,496544,453413,43131,,102227,,102227,,94135,75709,10533,7893,20775624,19045933,1721798,7893,,,,,,"EIN-06-0840436"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202131049349300108","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202131049349300108_public.xml","2019v5.2",42596491,"CONWAY SCHOOL OF LANDSCAPE DESIGN INC",,"990",2019,,,,47910,47910,,,,,70000,,58800,11200,,,,,446549,309929,96165,40455,12466,7479,3740,1247,55497,33299,16649,5549,44917,26950,13475,4492,,,,,1486,,1486,,9000,,9000,,,,,,,,,,,,,,31247,,28851,2396,,,,,13361,,,13361,,,,,,,,,,13373,8024,4012,1337,2144,557,1587,,,,,,,,,,24514,9775,14739,,,,,,31085,18652,9325,3108,12757,7654,3827,1276,50439,42843,5494,2102,933406,568328,290684,74394,,,,,,"EIN-04-2596491"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202110219349300726","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202110219349300726_public.xml","2019v5.1",42592472,"CAPE COD ACADEMY",,"990",2019,,,,2524944,2524944,,,,,,,,,,,,,2844039,2465826,204656,173557,53583,50076,3312,195,943426,908028,34054,1344,262878,229933,17413,15532,,,,,89847,,89847,,32902,,32902,,,,,,,,,,,,,,379416,70450,301606,7360,73160,,73160,,9545,,6551,2245,749,46999,,46999,,,,,,122196,116086,6110,,5268,4278,990,,,,,,,,,,259654,,259654,,,,,,552491,495304,31064,26123,132741,17008,115085,648,,,,,9681241,8138509,1302500,240232,,,,,,"EIN-04-2592472"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202012589349200831","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202012589349200831_public.xml","2019v5.1",43266589,"RESOLVE OF THE BAY STATE INC",,"990EZ",2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11315,,,,,,,,,,,,9570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIN-04-3266589"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202003219349305285","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202003219349305285_public.xml","2019v5.1",20240383,"PORTSMOUTH HISTORICAL SOCIETY",,"990",2019,,,,,,,,,,22750,2275,5688,14787,,,,,279302,129954,37963,111385,,,,,122,53,18,51,24586,10763,3553,10270,,,,,5000,,5000,,6650,,6650,,,,,,,,,,,,,,22372,,22372,,2389,2389,,,7273,,5819,727,727,2911,2911,,,,,,,87794,70236,13169,4389,,,,,,,,,150,75,75,,2800,,2800,,,,,,40905,32724,6136,2045,23626,18901,3544,1181,9158,7404,1015,739,586910,325453,114205,147252,,,,,,"EIN-02-0240383"
"https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202043219349317459","https://gt990datalake-rawdata-qa.s3.amazonaws.com/EfileData/XmlFiles/202043219349317459_public.xml","2019v5.1",43543134,"THE DOUG FLUTIE JR FOUNDATION FOR","AUTISM INC","990",2019,,547181,547181,66549,66549,,,,,115958,69575,5798,40585,,,,,239307,120879,24429,93999,3596,1786,283,1527,,,,,36453,19583,3177,13693,,,,,,,,,45104,,45104,,,,,,,,,,19014,,19014,,37943,,9970,27973,,,,,40369,,6901,22584,10884,48860,17048,16821,14991,,,,,29583,13525,3288,12770,10853,7486,89,3278,,,,,,,,,,,,,,,,,11976,,11976,,5293,3552,529,1212,11823,,,11823,1405952,947252,191923,266777,,,,,,"EIN-04-3543134"
