"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_09_INFO_SCHED_O_X","F9_09_EXP_GRANT_US_ORG_TOT","F9_09_EXP_GRANT_US_ORG_PROG","F9_09_EXP_GRANT_US_INDIV_TOT","F9_09_EXP_GRANT_US_INDIV_PROG","F9_09_EXP_GRANT_FRGN_TOT","F9_09_EXP_GRANT_FRGN_PROG","F9_09_EXP_BEN_PAID_MEMB_TOT","F9_09_EXP_BEN_PAID_MEMB_PROG","F9_09_EXP_COMP_DTK_TOT","F9_09_EXP_COMP_DTK_PROG","F9_09_EXP_COMP_DTK_MGMT","F9_09_EXP_COMP_DTK_FUNDR","F9_09_EXP_COMP_DSQ_PERS_TOT","F9_09_EXP_COMP_DSQ_PERS_PROG","F9_09_EXP_COMP_DSQ_PERS_MGMT","F9_09_EXP_COMP_DSQ_PERS_FUNDR","F9_09_EXP_OTH_SAL_WAGE_TOT","F9_09_EXP_OTH_SAL_WAGE_PROG","F9_09_EXP_OTH_SAL_WAGE_MGMT","F9_09_EXP_OTH_SAL_WAGE_FUNDR","F9_09_EXP_PENSION_CONTR_TOT","F9_09_EXP_PENSION_CONTR_PROG","F9_09_EXP_PENSION_CONTR_MGMT","F9_09_EXP_PENSION_CONTR_FUNDR","F9_09_EXP_OTH_EMPL_BEN_TOT","F9_09_EXP_OTH_EMPL_BEN_PROG","F9_09_EXP_OTH_EMPL_BEN_MGMT","F9_09_EXP_OTH_EMPL_BEN_FUNDR","F9_09_EXP_PAYROLL_TAX_TOT","F9_09_EXP_PAYROLL_TAX_PROG","F9_09_EXP_PAYROLL_TAX_MGMT","F9_09_EXP_PAYROLL_TAX_FUNDR","F9_09_EXP_FEE_SVC_MGMT_TOT","F9_09_EXP_FEE_SVC_MGMT_PROG","F9_09_EXP_FEE_SVC_MGMT_MGMT","F9_09_EXP_FEE_SVC_MGMT_FUNDR","F9_09_EXP_FEE_SVC_LEGAL_TOT","F9_09_EXP_FEE_SVC_LEGAL_PROG","F9_09_EXP_FEE_SVC_LEGAL_MGMT","F9_09_EXP_FEE_SVC_LEGAL_FUNDR","F9_09_EXP_FEE_SVC_ACC_TOT","F9_09_EXP_FEE_SVC_ACC_PROG","F9_09_EXP_FEE_SVC_ACC_MGMT","F9_09_EXP_FEE_SVC_ACC_FUNDR","F9_09_EXP_FEE_SVC_LOB_TOT","F9_09_EXP_FEE_SVC_LOB_PROG","F9_09_EXP_FEE_SVC_LOB_MGMT","F9_09_EXP_FEE_SVC_LOB_FUNDR","F9_09_EXP_FEE_SVC_FUNDR_TOT","F9_09_EXP_FEE_SVC_FUNDR_PROG","F9_09_EXP_FEE_SVC_FUNDR_MGMT","F9_09_EXP_FEE_SVC_FUNDR_FUNDR","F9_09_EXP_FEE_SVC_INVEST_TOT","F9_09_EXP_FEE_SVC_INVEST_PROG","F9_09_EXP_FEE_SVC_INVEST_MGMT","F9_09_EXP_FEE_SVC_INVEST_FUNDR","F9_09_EXP_FEE_SVC_OTH_TOT","F9_09_EXP_FEE_SVC_OTH_PROG","F9_09_EXP_FEE_SVC_OTH_MGMT","F9_09_EXP_FEE_SVC_OTH_FUNDR","F9_09_EXP_AD_PROMO_TOT","F9_09_EXP_AD_PROMO_PROG","F9_09_EXP_AD_PROMO_MGMT","F9_09_EXP_AD_PROMO_FUNDR","F9_09_EXP_OFFICE_TOT","F9_09_EXP_OFFICE_TOT_V2","F9_09_EXP_OFFICE_PROG","F9_09_EXP_OFFICE_MGMT","F9_09_EXP_OFFICE_FUNDR","F9_09_EXP_INFO_TECH_TOT","F9_09_EXP_INFO_TECH_PROG","F9_09_EXP_INFO_TECH_MGMT","F9_09_EXP_INFO_TECH_FUNDR","F9_09_EXP_ROY_TOT","F9_09_EXP_ROY_PROG","F9_09_EXP_ROY_MGMT","F9_09_EXP_ROY_FUNDR","F9_09_EXP_OCCUPANCY_TOT","F9_09_EXP_OCCUPANCY_PROG","F9_09_EXP_OCCUPANCY_MGMT","F9_09_EXP_OCCUPANCY_FUNDR","F9_09_EXP_TRAVEL_TOT","F9_09_EXP_TRAVEL_PROG","F9_09_EXP_TRAVEL_MGMT","F9_09_EXP_TRAVEL_FUNDR","F9_09_EXP_TRAVEL_ENTMT_TOT","F9_09_EXP_TRAVEL_ENTMT_PROG","F9_09_EXP_TRAVEL_ENTMT_MGMT","F9_09_EXP_TRAVEL_ENTMT_FUNDR","F9_09_EXP_CONF_MEETING_TOT","F9_09_EXP_CONF_MEETING_PROG","F9_09_EXP_CONF_MEETING_MGMT","F9_09_EXP_CONF_MEETING_FUNDR","F9_09_EXP_INT_TOT","F9_09_EXP_INT_PROG","F9_09_EXP_INT_MGMT","F9_09_EXP_INT_FUNDR","F9_09_EXP_PAY_AFFIL_TOT","F9_09_EXP_PAY_AFFIL_PROG","F9_09_EXP_PAY_AFFIL_MGMT","F9_09_EXP_PAY_AFFIL_FUNDR","F9_09_EXP_DEPREC_TOT","F9_09_EXP_DEPREC_PROG","F9_09_EXP_DEPREC_MGMT","F9_09_EXP_DEPREC_FUNDR","F9_09_EXP_INSURANCE_TOT","F9_09_EXP_INSURANCE_PROG","F9_09_EXP_INSURANCE_MGMT","F9_09_EXP_INSURANCE_FUNDR","F9_09_EXP_OTH_OTH_TOT","F9_09_EXP_OTH_OTH_PROG","F9_09_EXP_OTH_OTH_MGMT","F9_09_EXP_OTH_OTH_FUNDR","F9_09_EXP_TOT_TOT","F9_09_EXP_TOT_PROG","F9_09_EXP_TOT_MGMT","F9_09_EXP_TOT_FUNDR","F9_09_EXP_JOINT_COST_X","F9_09_EXP_JOINT_COST_TOT","F9_09_EXP_JOINT_COST_PROG","F9_09_EXP_JOINT_COST_MGMT","F9_09_EXP_JOINT_COST_FUNDR","EIN2"
"201132279349302418","https://s3.amazonaws.com/irs-form-990/201132279349302418_public.xml","2009v1.7","42104310","HOLYOKE VISITiNG NURSE ASSOCIATION INC","","990","2009","","","","","","","","","","390451","","390451","","","","","","4457492","3577137","880355","","197559","158541","39018","","204190","163862","40328","","383560","307807","75753","","","","","","32000","","32000","","49352","","49352","","","","","","","","","","","","","","670023","602978","67045","","28613","22962","5651","","42213","","33876","8337","","49408","39650","9758","","","","","","223223","179136","44087","","134272","107753","26519","","","","","","15997","12838","3159","","2607","2092","515","","","","","","50970","40903","10067","","43660","35037","8623","","58407","46872","11535","","7882230","6121394","1760836","0","","","","","","EIN-04-2104310"
"201121339349301522","https://s3.amazonaws.com/irs-form-990/201121339349301522_public.xml","2009v1.7","60840436","Benhaven Inc","","990","2009","","","","","","","","","","128097","","128097","","","","","","7649019","7168993","480026","","","","","","1844741","1715464","129277","","573868","530404","43464","","","","","","2588","","2588","","30200","","30200","","2500","","2500","","","","","","","","","","422166","413520","8646","","","","","","165611","","148255","17356","","27859","","27859","","","","","","46972","46972","","","287266","271556","15710","","","","","","39572","39572","","","177548","175845","1703","","","","","","342042","288432","53610","","87911","","87911","","32301","26272","4450","1579","12682135","11591295","1089261","1579","","","","","","EIN-06-0840436"
"201131329349302773","https://s3.amazonaws.com/irs-form-990/201131329349302773_public.xml","2009v1.4","30179298","President and Fellows of Middlebury College","","990","2009","","35578","35578","42022000","42022000","","","","","1536847","261264","1014319","261264","238112","59909","119331","58872","79662450","67391252","9878440","2392758","8995668","7597038","1131047","267583","11950510","9984935","1592601","372974","5513415","4579437","753851","180127","","","","","254351","","254351","","326880","","326880","","","","","","4091","","","4091","1513000","","1513000","","","","","","213203","130045","57735","25423","1138942","","890191","91580","157171","1384074","262917","1118122","3035","","","","","10877031","10208669","663947","4415","3608815","2961000","390675","257140","","","","","334219","168853","149297","16069","11282000","10436812","845188","","","","","","22833614","18581166","4252448","","1096861","711444","385417","","12668217","8137033","4286347","244837","250119600","198569000","47055069","4495531","","","","","","EIN-03-0179298"
"201130269349300413","https://s3.amazonaws.com/irs-form-990/201130269349300413_public.xml","2009v1.7","42592472","Cape Cod Academy","","990","2009","","","","1332725","1332725","","","","","175100","","175100","","","","","","3993587","3120862","671960","200765","187571","135302","42241","10028","490655","378822","81877","29956","299966","228093","57994","13879","","","","","4721","","4721","","14800","","14800","","","","","","","","","","21217","","21217","","6249","","6249","","41895","","41895","","75860","","6831","59934","9095","30440","","30440","","","","","","161542","161542","","","","","","","","","","","3881","","3881","","","","","","","","","","635033","529503","79830","25700","76848","","76848","","133635","52539","67114","13982","8572272","6788708","1469579","313985","","","","","","EIN-04-2592472"
"201102529349300325","https://s3.amazonaws.com/irs-form-990/201102529349300325_public.xml","2010v3.4","50258941","BETHANY HOME OF RI INC","","990","2010","","","","","","","","","","87837","","87837","","","","","","1415232","1261851","153381","","","","","","191131","160913","30218","","134269","113041","21228","","","","","","","","","","","","","","","","","","","","","","","","","","112450","51397","61053","","33806","","33806","","25927","","","25927","","","","","","","","","","80639","80639","","","1324","","1324","","","","","","6854","","6854","","978","","978","","","","","","137229","127760","9469","","86332","77721","8611","","2747","","2747","","3608431","3106015","502416","0","","","","","","EIN-05-0258941"
"201241319349301509","https://s3.amazonaws.com/irs-form-990/201241319349301509_public.xml","2010v3.4","60840436","BENHAVEN INC","","990","2010","","","","","","","","","","125319","","125319","","","","","","8128776","7636138","492638","","398868","369028","29840","","1777074","1644592","132482","","607124","562552","44572","","","","","","903","","903","","30400","","30400","","2500","","2500","","","","","","","","","","466513","459438","7075","","2329","2329","","","183347","","163517","19830","","30819","2235","28584","","","","","","264228","236128","28100","","252251","240516","11735","","","","","","39562","39562","","","183197","181900","1297","","","","","","355103","302541","52562","","93332","","93332","","11359","3011","6750","1598","13658160","12511918","1144644","1598","","","","","","EIN-06-0840436"
"201113139349301631","https://s3.amazonaws.com/irs-form-990/201113139349301631_public.xml","2010v3.2","42596491","CONWAY SCHOOL OF LANDSCAPE DESIGN INC","","990","2010","","","","","","","","","","201730","122523","67207","12000","","","","","197488","125740","37234","34514","8408","5466","2438","504","24821","16070","7253","1498","34120","22781","7781","3558","","","","","","","","","6800","","6800","","","","","","","","","","","","","","","","","","","","","","8311","","","6281","2030","","","","","","","","","36566","22929","9556","4081","3687","2313","963","411","","","","","","","","","","","","","","","","","35151","22043","9185","3923","3574","2241","934","399","64284","41851","14112","8321","710111","451090","182381","76640","","","","","","EIN-04-2596491"
"201112239349301366","https://s3.amazonaws.com/irs-form-990/201112239349301366_public.xml","2010v3.4","43543134","THE DOUG FLUTIE JR FOUNDATION FOR AUTISM INC","","990","2010","","377224","377224","","","20000","20000","","","52132","40491","4049","7592","","","","","133836","74402","16617","42817","2411","","2411","","1319","805","92","422","15178","9504","1504","4170","","","","","2021","","2021","","28110","","28110","","","","","","","","","","17845","","17845","","29944","28089","1855","","19500","19500","","","18461","","8523","6118","3820","8219","6101","1210","908","","","","","9988","6093","699","3196","1245","872","","373","","","","","220","154","","66","","","","","","","","","64","","64","","4044","2467","283","1294","","","","","785760","632515","88587","64658","","","","","","EIN-04-3543134"
"201222289349303377","https://s3.amazonaws.com/irs-form-990/201222289349303377_public.xml","2010v3.4","42104310","HOLYOKE VISITING NURSE ASSOCIATION INC","","990","2010","","","","","","","","","","602838","","602838","","","","","","4310684","3459324","851360","","","","","","256031","205465","50566","","389248","312372","76876","","","","","","30839","","30839","","105592","","105592","","","","","","","","","","","","","","531782","426755","105027","","11668","9364","2304","","41165","","33035","8130","","67877","54471","13406","","","","","","222231","178340","43891","","137624","110443","27181","","","","","","5045","4049","996","","1900","1525","375","","","","","","42736","34296","8440","","48216","38693","9523","","55383","44444","10939","","7685844","5684360","2001484","0","","","","","","EIN-04-2104310"
"201241359349305239","https://s3.amazonaws.com/irs-form-990/201241359349305239_public.xml","2010v3.2","30179298","President and Fellows of Middlebury College","","990","2010","","842776","842776","47913000","47913000","","","","","2148870","365308","1418254","365308","350156","290605","","59551","95273748","79400961","12916927","2955860","10020444","8424423","1275797","320224","14161440","11758895","1922600","479945","6309339","5211625","875000","222714","","","","","516690","","516690","","324313","","324313","","2977","","2977","","","","","","2436000","","2436000","","","","","","315712","184059","110845","20808","1530813","","904369","441994","184450","1695030","509684","1184191","1155","","","","","10420685","9308908","1099119","12658","5477516","4383796","749729","343991","2613","","2613","","435115","201277","213591","20247","12859489","10905968","1953521","","","","","","21548000","16777895","4770105","","1847255","1554853","292402","","9285763","4053560","3796045","1436158","273753000","225553935","41222193","6976872","","","","","","EIN-03-0179298"
