"OBJECTID","URL","RETURN_VERSION","ORG_EIN","ORG_NAME_L1","ORG_NAME_L2","RETURN_TYPE","TAX_YEAR","F9_10_INFO_SCHED_O_X","F9_10_ASSET_CASH_SAVING_BOY","F9_10_ASSET_CASH_SAVING_EOY","F9_10_ASSET_CASH_BOY","F9_10_ASSET_CASH_EOY","F9_10_ASSET_SAVING_BOY","F9_10_ASSET_SAVING_EOY","F9_10_ASSET_PLEDGE_NET_BOY","F9_10_ASSET_PLEDGE_NET_EOY","F9_10_ASSET_ACC_NET_BOY","F9_10_ASSET_ACC_NET_EOY","F9_10_ASSET_LOAN_OFF_BOY","F9_10_ASSET_LOAN_OFF_EOY","F9_10_ASSET_LOAN_DSQ_PERS_BOY","F9_10_ASSET_LOAN_DSQ_PERS_EOY","F9_10_ASSET_NOTE_LOAN_NET_BOY","F9_10_ASSET_NOTE_LOAN_NET_EOY","F9_10_ASSET_INV_SALE_BOY","F9_10_ASSET_INV_SALE_EOY","F9_10_ASSET_EXP_PREPAID_BOY","F9_10_ASSET_EXP_PREPAID_EOY","F9_10_ASSET_LAND_BLDG","F9_10_ASSET_LAND_BLDG_BOY","F9_10_ASSET_LAND_BLDG_EOY","F9_10_ASSET_LAND_BLDG_DEPREC","F9_10_ASSET_LAND_BLDG_NET_BOY","F9_10_ASSET_LAND_BLDG_NET_EOY","F9_10_ASSET_INVEST_SEC_BOY","F9_10_ASSET_INVEST_SEC_EOY","F9_10_ASSET_INVEST_SEC_OTH_BOY","F9_10_ASSET_INVEST_SEC_OTH_EOY","F9_10_ASSET_INVEST_PROG_RLTD_BOY","F9_10_ASSET_INVEST_PROG_RLTD_EOY","F9_10_ASSET_INTANGIBLE_BOY","F9_10_ASSET_INTANGIBLE_EOY","F9_10_ASSET_OTH_BOY","F9_10_ASSET_OTH_BOY_V2","F9_10_ASSET_OTH_EOY","F9_10_ASSET_OTH_EOY_V2","F9_10_ASSET_TOT_BOY","F9_10_ASSET_TOT_EOY","F9_10_LIAB_ACC_PAYABLE_BOY","F9_10_LIAB_ACC_PAYABLE_EOY","F9_10_LIAB_GRANT_PAYABLE_BOY","F9_10_LIAB_GRANT_PAYABLE_EOY","F9_10_LIAB_REV_DEFERRED_BOY","F9_10_LIAB_REV_DEFERRED_EOY","F9_10_LIAB_TAX_EXEMPT_BOND_BOY","F9_10_LIAB_TAX_EXEMPT_BOND_EOY","F9_10_LIAB_ESCROW_ACC_BOY","F9_10_LIAB_ESCROW_ACC_EOY","F9_10_LIAB_LOAN_OFF_BOY","F9_10_LIAB_LOAN_OFF_EOY","F9_10_LIAB_MTG_NOTE_BOY","F9_10_LIAB_MTG_NOTE_EOY","F9_10_LIAB_NOTE_UNSEC_BOY","F9_10_LIAB_NOTE_UNSEC_EOY","F9_10_LIAB_OTH_BOY","F9_10_LIAB_OTH_EOY","F9_10_LIAB_TOT_BOY","F9_10_NAFB_FOLLOW_SFAS117_X","F9_10_LIAB_TOT_EOY","F9_10_NAFB_UNRESTRICT_BOY","F9_10_NAFB_UNRESTRICT_EOY","F9_10_NAFB_RESTRICT_TEMP_BOY","F9_10_NAFB_RESTRICT_TEMP_EOY","F9_10_NAFB_RESTRICT_PERM_BOY","F9_10_NAFB_NO_FOLLOW_SFAS117_X","F9_10_NAFB_RESTRICT_PERM_EOY","F9_10_NAFB_CAP_STCK_BOY","F9_10_NAFB_CAP_STCK_EOY","F9_10_NAFB_CAP_SURPLUS_BOY","F9_10_NAFB_CAP_SURPLUS_EOY","F9_10_NAFB_EARNING_RETAINED_BOY","F9_10_NAFB_EARNING_RETAINED_EOY","F9_10_NAFB_TOT_BOY","F9_10_NAFB_TOT_EOY","F9_10_NAFB_TOT_LIAB_NAFB_BOY","F9_10_NAFB_TOT_LIAB_NAFB_EOY","EIN2"
"201132279349302418","https://s3.amazonaws.com/irs-form-990/201132279349302418_public.xml","2009v1.7","42104310","HOLYOKE VISITiNG NURSE ASSOCIATION INC","","990","2009","","","","","","431794","433119","46250","17227","1244504","1169041","","","","","","","","","120822","163251","414087","","","266317","188601","147770","399899","433195","","","","","","","13603","","4787","","2445473","2368390","894284","669608","","","306767","313908","","","","","","","29711","18521","","","319168","609168","1549930","X","1611205","486236","323398","9408","592","399899","","433195","","","","","","","895543","757185","2445473","2368390","EIN-04-2104310"
"201121339349301522","https://s3.amazonaws.com/irs-form-990/201121339349301522_public.xml","2009v1.7","60840436","Benhaven Inc","","990","2009","","","","1697015","1982851","","","","","1321203","1205841","","","","","","","","","11035","30376","8329047","","","3208390","3662453","5120657","338462","374716","","","","","","","65454","","36274","","7095622","8750715","106258","109823","","","","","","","","","","","1427203","2544297","","","940238","931128","2473699","X","3585248","4621923","5165467","","","","","","","","","","","","4621923","5165467","7095622","8750715","EIN-06-0840436"
"201131329349302773","https://s3.amazonaws.com/irs-form-990/201131329349302773_public.xml","2009v1.4","30179298","President and Fellows of Middlebury College","","990","2009","","","","1757723","15075000","3371500","10638000","44639679","38982000","2398193","5887000","91031","99838","","","16892728","24559000","954164","1063000","2241625","3218000","609417000","","","248070000","354546000","361347000","229045000","275211000","520855443","561360556","6235094","5976606","","","21058820","","22770000","","1204087000","1326187000","35207000","53405000","","","17174000","18767000","268437000","290239000","","","","","","","","","40484000","34885000","361302000","X","397296000","270981000","394983000","322147000","261725000","249657000","","272183000","","","","","","","842785000","928891000","1204087000","1326187000","EIN-03-0179298"
"201130269349300413","https://s3.amazonaws.com/irs-form-990/201130269349300413_public.xml","2009v1.7","42592472","Cape Cod Academy","","990","2009","","","","","","1247621","1109692","260500","129100","41335","136695","","","","","247224","252177","","","64274","179649","22751323","","","5597899","17652529","17153424","3714087","3696639","","","","","","","","","","","23227570","22657376","559541","625919","2000","","2204188","2094205","","","","","","","","","","","27368","","2793097","X","2720124","18992381","19457385","1291340","311859","150752","","168008","","","","","","","20434473","19937252","23227570","22657376","EIN-04-2592472"
"201102529349300325","https://s3.amazonaws.com/irs-form-990/201102529349300325_public.xml","2010v3.4","50258941","BETHANY HOME OF RI INC","","990","2010","","","","188033","174151","88848","124447","","","435262","457461","","","","","","","","","9723","9843","4512730","","","3029504","1512715","1483226","128690","172860","","","","","","","3626739","","3969750","","5990010","6391738","279495","255264","","","","","","","","","","","","","","","","","279495","X","255264","2055976","2069510","33984","107584","3620555","","3959380","","","","","","","5710515","6136474","5990010","6391738","EIN-05-0258941"
"201241319349301509","https://s3.amazonaws.com/irs-form-990/201241319349301509_public.xml","2010v3.4","60840436","BENHAVEN INC","","990","2010","","","","1982851","2503704","","","","","1205841","1236696","","","","","","","","","30376","0","8336632","","","3291005","5120657","5045627","374716","423974","","","","","","","36274","","36274","","8750715","9246275","109823","1076713","","","","","","","","","","","2544297","2434940","","","931128","28827","3585248","X","3540480","5165467","5705795","","","","","","","","","","","","5165467","5705795","8750715","9246275","EIN-06-0840436"
"201113139349301631","https://s3.amazonaws.com/irs-form-990/201113139349301631_public.xml","2010v3.2","42596491","CONWAY SCHOOL OF LANDSCAPE DESIGN INC","","990","2010","","","","50","50","447690","232960","11773","8788","35921","40332","24099","23768","","","","","","","4211","6321","934045","","","272468","692272","661577","49420","","77148","421368","","","","","","","","","1342584","1395164","29198","46628","","","15000","8250","","","","","","","150071","145434","","","","","194269","X","200312","1046161","1095845","102154","99007","","","","","","","","","","1148315","1194852","1342584","1395164","EIN-04-2596491"
"201112239349301366","https://s3.amazonaws.com/irs-form-990/201112239349301366_public.xml","2010v3.4","43543134","THE DOUG FLUTIE JR FOUNDATION FOR AUTISM INC","","990","2010","","","","501","138","173915","147854","31760","","","","","","","","","","11500","8000","15300","12289","10982","","","10982","0","0","2387251","2378698","","","","","549","9235","10956","","9338","","2631732","2565552","9770","11205","379766","369861","15750","5271","","","","","","","","","","","","","405286","X","386337","2226446","2179215","","","","","","","","","","","","2226446","2179215","2631732","2565552","EIN-04-3543134"
"201222289349303377","https://s3.amazonaws.com/irs-form-990/201222289349303377_public.xml","2010v3.4","42104310","HOLYOKE VISITING NURSE ASSOCIATION INC","","990","2010","","","","","","433119","438651","17227","0","1169041","906004","","","","","","","","","163251","90536","356335","","","249541","147770","106794","433195","428469","","","","","","","4787","","4470","","2368390","1974924","669608","474766","","","313908","255908","","","","","","","18521","6623","","","609168","923231","1611205","X","1660528","323398","-114348","592","275","433195","","428469","","","","","","","757185","314396","2368390","1974924","EIN-04-2104310"
"201241359349305239","https://s3.amazonaws.com/irs-form-990/201241359349305239_public.xml","2010v3.2","30179298","President and Fellows of Middlebury College","","990","2010","","","","15075000","20296000","10638000","6211000","38982000","33980000","5887000","7448000","99838","123943","","","24559000","23310000","1063000","1005000","3218000","3994000","632263000","","","267927000","361347000","364336000","275211000","306816226","561360556","643351480","5976606","5101351","","","22770000","","26917000","","1326187000","1442890000","53405000","44781000","","","18767000","17175000","290239000","287430000","","","","","","","","","34885000","37365000","397296000","X","386751000","394983000","324200000","261725000","444835000","272183000","","287104000","","","","","","","928891000","1056139000","1326187000","1442890000","EIN-03-0179298"
