"","EIN","TAXYR","transition_no","CEO1","CEO2","OBJECT_ID","NAME","FORMTYPE","URL","F9_07_COMP_DTK_NAME_PERS","F9_07_COMP_DTK_TITLE","F9_07_COMP_DTK_AVE_HOUR_WEEK","F9_07_COMP_DTK_POS_INDIV_TRUST_X","F9_07_COMP_DTK_POS_OFF_X","F9_07_COMP_DTK_COMP_ORG","F9_07_COMP_DTK_COMP_RLTD","F9_07_COMP_DTK_COMP_OTH","F9_07_COMP_DTK_POS_HIGH_COMP_X","F9_07_COMP_DTK_POS_FORMER_X","F9_07_COMP_DTK_EMPL_BEN","F9_07_COMP_DTK_POS_INST_TRUST_X","F9_07_COMP_DTK_POS_KEY_EMPL_X","salutation","first_name","middle_name","last_name","suffix","status","gender","gender_confidence","title.standard","title.mult.x","title.order","title.count","num.paid","num.fte","num.fte.30h","unique_ceos"
"1",10024245,2013,1,"JOHN PORTER",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201442279349302719","BANGOR REGION CHAMBER OF COMMERCE","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201442279349302719_public.xml","JOHN PORTER","PRESIDENT/CEO",40,"X","X",101480,0,0,NA,NA,NA,NA,NA,"","JOHN","","PORTER","","","M","99.6","CEO",1,2,2,2,2,2,2
"2",10024245,2014,1,"JOHN PORTER",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201532889349300828","BANGOR REGION CHAMBER OF COMMERCE","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201532889349300828_public.xml","JOHN PORTER","PRESIDENT/CEO",40,"X","X",103573,0,0,NA,NA,NA,NA,NA,"","JOHN","","PORTER","","","M","99.6","CEO",1,2,2,2,2,2,2
"3",10024245,2015,1,"JOHN PORTER",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201632289349301938","BANGOR REGION CHAMBER OF COMMERCE","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201632289349301938_public.xml","JOHN PORTER","PRESIDENT/CEO",40,"X","X",80286,0,0,NA,NA,NA,NA,NA,"","JOHN","","PORTER","","","M","99.6","CEO",1,2,2,2,2,2,2
"4",10024245,2016,1,"DEB NEUMAN",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201702999349300500","BANGOR REGION CHAMBER OF COMMERCE","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201702999349300500_public.xml","DEB NEUMAN","PRESIDENT/CEO",40,"X","X",78462,0,0,NA,NA,NA,NA,NA,"","DEB","","NEUMAN","","","F","100","CEO",1,2,2,2,2,2,2
"5",10024245,2017,1,"DEB NEUMAN",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201801729349300300","BANGOR REGION CHAMBER OF COMMERCE","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201801729349300300_public.xml","DEB NEUMAN","PRESIDENT/CEO",40,"X","X",87550,0,0,NA,NA,NA,NA,NA,"","DEB","","NEUMAN","","","F","100","CEO",1,2,2,2,2,2,2
"6",10196194,2014,1,"NORMAND DUBREUIL",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201532789349300703","MAINE STATE CREDIT UNION","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201532789349300703_public.xml","NORMAND R DUBREUIL","CEO",40,NA,"X",217153,0,16612,NA,NA,NA,NA,NA,"","NORMAND","R","DUBREUIL","","","M","100","CEO",0,1,1,21,21,21,2
"7",10196194,2015,1,"NORMAND DUBREUIL",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201612289349302976","MAINE STATE CREDIT UNION","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201612289349302976_public.xml","NORMAND R DUBREUIL","CEO",40,NA,"X",219189,0,17035,NA,NA,NA,NA,NA,"","NORMAND","R","DUBREUIL","","","M","100","CEO",0,1,1,21,21,21,2
"8",10196194,2016,1,"NORMAND DUBREUIL","COLE TUCKER","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201743179349301734","MAINE STATE CREDIT UNION","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201743179349301734_public.xml","NORMAND DUBREUIL","PAST CEO",40,NA,"X",91641,0,19691,NA,NA,NA,NA,NA,"","NORMAND","","DUBREUIL","","","M","100","CEO",0,1,1,21,21,21,2
"9",10196194,2017,1,"COLE TUCKER",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201833189349301203","MAINE STATE CREDIT UNION","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201833189349301203_public.xml","TUCKER COLE","PRESIDENT/CEO",40,NA,"X",280107,0,37603,NA,NA,NA,NA,NA,"","COLE","","TUCKER","","","M","100","CEO",1,2,2,21,21,21,2
"10",10196194,2018,1,"COLE TUCKER",NA,"201923199349304160","MAINE STATE CREDIT UNION","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923199349304162_public.xml","TUCKER COLE","PRESIDENT/CEO",40,NA,"X",297423,0,40387,NA,NA,NA,NA,NA,"","COLE","","TUCKER","","","M","100","CEO",1,2,2,21,21,21,2
"11",10206603,2010,1,"DONNA STECKINO",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201132249349301123","COMMUNITY CREDIT UNION","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201132249349301123_public.xml","DONNA STECKINO","CEO",40,NA,"X",116565,0,8823,NA,NA,NA,NA,NA,"","DONNA","","STECKINO","","","F","100","CEO",0,1,1,5,5,5,3
"12",10206603,2011,1,"DONNA STECKINO",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201221919349300227","COMMUNITY CREDIT UNION","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201221919349300227_public.xml","DONNA STECKINO","PRESIDENT/CEO (RETIRED 2012)",40,NA,"X",118618,0,9130,NA,NA,NA,NA,NA,"","DONNA","","STECKINO","","","F","100","CEO",1,2,2,5,5,5,3
"13",10206603,2012,1,"KERRY WOOD",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201312109349301051","COMMUNITY CREDIT UNION","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201312109349301051_public.xml","KERRY WOOD","PRESIDENT/CEO",40,NA,"X",85728,0,6308,NA,NA,NA,NA,NA,"","KERRY","","WOOD","","","M","52.3","CEO",1,2,2,5,5,5,3
"14",10206603,2013,1,"KERRY WOOD",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201421749349300127","COMMUNITY CREDIT UNION","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201421749349300127_public.xml","KERRY WOOD","PRESIDENT/CEO",40,NA,"X",98693,0,9200,NA,NA,NA,NA,NA,"","KERRY","","WOOD","","","M","52.3","CEO",1,2,2,5,5,5,3
"15",10206603,2014,1,"KERRY WOOD",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201503179349302340","COMMUNITY CREDIT UNION","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201503179349302340_public.xml","KERRY WOOD","PRESIDENT/CEO",40,NA,"X",109099,0,9295,NA,NA,NA,NA,NA,"","KERRY","","WOOD","","","M","52.3","CEO",1,2,2,5,5,5,3
"16",10206603,2012,2,"KERRY WOOD",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201312109349301051","COMMUNITY CREDIT UNION","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201312109349301051_public.xml","KERRY WOOD","PRESIDENT/CEO",40,NA,"X",85728,0,6308,NA,NA,NA,NA,NA,"","KERRY","","WOOD","","","M","52.3","CEO",1,2,2,5,5,5,3
"17",10206603,2013,2,"KERRY WOOD",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201421749349300127","COMMUNITY CREDIT UNION","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201421749349300127_public.xml","KERRY WOOD","PRESIDENT/CEO",40,NA,"X",98693,0,9200,NA,NA,NA,NA,NA,"","KERRY","","WOOD","","","M","52.3","CEO",1,2,2,5,5,5,3
"18",10206603,2014,2,"KERRY WOOD",NA,"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201503179349302340","COMMUNITY CREDIT UNION","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201503179349302340_public.xml","KERRY WOOD","PRESIDENT/CEO",40,NA,"X",109099,0,9295,NA,NA,NA,NA,NA,"","KERRY","","WOOD","","","M","52.3","CEO",1,2,2,5,5,5,3
